date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol
2024-12-24,140.0,141.9,138.65,140.22,140.21,105157000,105157000,0.22,0.15714,140.1925,"December 24, 24",0.0015714,NVDA
2024-12-23,136.28,139.79,135.12,139.67,139.66,176053506,176053506,3.39,2.49,137.715,"December 23, 24",0.0249,NVDA
2024-12-20,129.81,135.28,128.22,134.7,134.69,306528600,306528600,4.89,3.77,132.0025,"December 20, 24",0.0377,NVDA
2024-12-19,131.76,134.03,129.55,130.68,130.67,209719210,209719210,-1.08,-0.81967,131.505,"December 19, 24",-0.0081967,NVDA
2024-12-18,133.86,136.7,128.28,128.91,128.9,277444533,277444533,-4.95,-3.7,131.9375,"December 18, 24",-0.037,NVDA
2024-12-17,129.09,131.59,126.86,130.39,130.38,259410300,259410300,1.3,1.01,129.4825,"December 17, 24",0.0101,NVDA
2024-12-16,134.18,134.4,130.42,132.0,131.99,237951130,237951130,-2.18,-1.62,132.75,"December 16, 24",-0.0162,NVDA
2024-12-13,138.94,139.6,132.54,134.25,134.24,231514900,231514900,-4.69,-3.38,136.3325,"December 13, 24",-0.0338,NVDA
2024-12-12,137.08,138.44,135.8,137.34,137.33,159211400,159211400,0.26,0.18967,137.165,"December 12, 24",0.0018967,NVDA
2024-12-11,137.36,140.17,135.21,139.31,139.3,184905200,184905200,1.95,1.42,138.0125,"December 11, 24",0.0142,NVDA
2025-03-14,247.31,251.58,240.73,249.98,249.98,100242300,100242300,2.67,1.08,247.4,"March 14, 25",0.0108,TSLA
2025-03-13,248.13,248.29,232.6,240.68,240.68,114813525,114813525,-7.44,-3.0,242.425,"March 13, 25",-0.03,TSLA
2025-03-12,247.22,251.84,241.1,248.09,248.09,142215700,142215700,0.87,0.35191,247.0625,"March 12, 25",0.0035191,TSLA
2025-03-11,225.31,237.06,217.02,230.58,230.58,174896415,174896415,5.28,2.34,227.4925,"March 11, 25",0.0234,TSLA
2025-03-10,252.54,253.37,220.0,222.15,222.15,189076948,189076948,-30.38,-12.03,237.015,"March 10, 25",-0.1203,TSLA
2025-03-07,259.32,266.25,250.73,262.67,262.67,102369640,102369640,3.35,1.29,259.7425,"March 07, 25",0.0129,TSLA
2025-03-06,272.06,272.65,260.02,263.45,263.45,98451600,98451600,-8.61,-3.16,267.045,"March 06, 25",-0.0316,TSLA
2025-03-05,272.92,279.55,267.71,279.1,279.1,94042913,94042913,6.18,2.26,274.82,"March 05, 25",0.0226,TSLA
2025-03-04,270.93,284.35,261.84,272.04,272.04,126706623,126706623,1.11,0.4097,272.29,"March 04, 25",0.004097,TSLA
2025-03-03,300.34,303.94,277.3,284.65,284.65,115551414,115551414,-15.69,-5.22,291.5575,"March 03, 25",-0.0522,TSLA
2025-02-28,279.5,293.88,273.6,292.98,292.98,115697000,115697000,13.48,4.82,284.99,"February 28, 25",0.0482,TSLA
2025-02-27,291.16,297.23,280.88,281.95,281.95,101748200,101748200,-9.21,-3.16,287.805,"February 27, 25",-0.0316,TSLA
2025-02-26,303.71,309.0,288.04,290.8,290.8,100118300,100118300,-12.91,-4.25,297.8875,"February 26, 25",-0.0425,TSLA
2025-02-25,327.02,328.89,297.25,302.8,302.8,134228800,134228800,-24.22,-7.41,313.99,"February 25, 25",-0.0741,TSLA
2025-02-24,338.14,342.4,324.7,330.53,330.53,76052321,76052321,-7.61,-2.25,333.9425,"February 24, 25",-0.0225,TSLA
2025-02-21,353.44,354.98,334.42,337.8,337.8,74058648,74058648,-15.64,-4.43,345.16,"February 21, 25",-0.0443,TSLA
2025-02-20,361.51,362.3,348.0,354.4,354.4,45965400,45965400,-7.11,-1.97,356.5525,"February 20, 25",-0.0197,TSLA
2025-02-19,354.0,367.34,353.67,360.56,360.56,67094400,67094400,6.56,1.85,358.8925,"February 19, 25",0.0185,TSLA
2025-02-18,355.01,359.1,350.02,354.11,354.11,51631702,51631702,-0.9,-0.25351,354.56,"February 18, 25",-0.0025351,TSLA
2025-02-14,360.62,362.0,347.5,355.84,355.84,68277300,68277300,-4.78,-1.33,356.49,"February 14, 25",-0.0133,TSLA
2025-02-13,345.0,358.69,342.85,355.94,355.94,89441519,89441519,10.94,3.17,350.62,"February 13, 25",0.0317,TSLA
2025-02-12,329.94,346.4,329.12,336.51,336.51,105382729,105382729,6.57,1.99,335.4925,"February 12, 25",0.0199,TSLA
2025-02-11,345.8,349.37,325.1,328.5,328.5,118543400,118543400,-17.3,-5.0,337.1925,"February 11, 25",-0.05,TSLA
2025-02-10,356.21,362.7,350.51,350.73,350.73,77514903,77514903,-5.48,-1.54,355.0375,"February 10, 25",-0.0154,TSLA
2025-02-07,370.19,380.55,360.34,361.62,361.62,70298300,70298300,-8.57,-2.32,368.175,"February 07, 25",-0.0232,TSLA
2025-02-06,373.03,375.4,363.18,374.32,374.32,77918230,77918230,1.29,0.34582,371.4825,"February 06, 25",0.0034582,TSLA
2025-02-05,387.51,388.39,375.53,378.17,378.17,57614721,57614721,-9.34,-2.41,382.4,"February 05, 25",-0.0241,TSLA
2025-02-04,382.63,394.0,381.4,392.21,392.21,57072235,57072235,9.58,2.5,387.56,"February 04, 25",0.025,TSLA
2025-02-03,386.68,389.17,374.36,383.68,383.68,93732122,93732122,-3.0,-0.77584,383.4725,"February 03, 25",-0.0077584,TSLA
2025-01-31,401.53,419.99,401.34,404.6,404.6,83568219,83568219,3.07,0.76458,406.865,"January 31, 25",0.0076458,TSLA
2025-01-30,410.78,412.5,384.41,400.28,400.28,98092900,98092900,-10.5,-2.56,401.9925,"January 30, 25",-0.0256,TSLA
2025-01-29,395.21,398.59,384.48,389.1,389.1,68033648,68033648,-6.11,-1.55,391.845,"January 29, 25",-0.0155,TSLA
2025-01-28,396.91,400.59,386.5,398.09,398.09,48910700,48910700,1.18,0.2973,395.5225,"January 28, 25",0.002973,TSLA
2025-01-27,394.8,406.69,389.0,397.15,397.15,58125510,58125510,2.35,0.59524,396.91,"January 27, 25",0.0059524,TSLA
2025-01-24,414.45,418.88,405.78,406.58,406.58,56427149,56427149,-7.87,-1.9,411.4225,"January 24, 25",-0.019,TSLA
2025-01-23,416.06,420.73,408.95,412.38,412.38,50690600,50690600,-3.68,-0.88449,414.53,"January 23, 25",-0.0088449,TSLA
2025-01-22,416.81,428.0,414.59,415.11,415.11,60963342,60963342,-1.7,-0.40786,418.6275,"January 22, 25",-0.0040786,TSLA
